,성별코드,가맹점업종명,시군구명,총결제금액
0,F,가구,가평군,306600
1,F,가구,고양시 일산동구,15016000
2,F,가구,고양시 일산서구,2847400
3,F,가구,과천시,695400
4,F,가구,광명시,2354010
5,F,가구,광주시,1328900
6,F,가구,구리시,30000
7,F,가구,군포시,867000
8,F,가구,남양주시,2720080
9,F,가구,동두천시,6700
10,F,가구,부천시,5460500
11,F,가구,수원시 권선구,70590102
12,F,가구,수원시 영통구,19950
13,F,가구,수원시 장안구,65000
14,F,가구,수원시 팔달구,12000
15,F,가구,안산시 단원구,27041461
16,F,가구,안산시 상록구,83139600
17,F,가구,안성시,240000
18,F,가구,양주시,2326000
19,F,가구,양평군,1698010
20,F,가구,여주시,1304400
21,F,가구,오산시,3786000
22,F,가구,용인시 기흥구,10
23,F,가구,용인시 처인구,421000
24,F,가구,의정부시,867900
25,F,가구,파주시,1260500
26,F,가구,하남시,1045100
27,F,가구,화성시,600000
28,F,건강식품,가평군,320000
29,F,건강식품,고양시 덕양구,1256400
30,F,건강식품,고양시 일산동구,1258200
31,F,건강식품,고양시 일산서구,5107359
32,F,건강식품,과천시,6794179
33,F,건강식품,광명시,899370
34,F,건강식품,광주시,741100
35,F,건강식품,구리시,56500
36,F,건강식품,군포시,9076782
37,F,건강식품,남양주시,2112600
38,F,건강식품,동두천시,622500
39,F,건강식품,부천시,12630800
40,F,건강식품,수원시 권선구,983900
41,F,건강식품,수원시 영통구,1901612
42,F,건강식품,수원시 장안구,1379100
43,F,건강식품,수원시 팔달구,2296300
44,F,건강식품,안산시 단원구,6300976
45,F,건강식품,안산시 상록구,1237200
46,F,건강식품,안성시,521100
47,F,건강식품,양주시,2334600
48,F,건강식품,양평군,1690000
49,F,건강식품,여주시,329200
50,F,건강식품,오산시,2919900
51,F,건강식품,용인시 기흥구,1159300
52,F,건강식품,용인시 수지구,7011410
53,F,건강식품,용인시 처인구,1693600
54,F,건강식품,의정부시,2531300
55,F,건강식품,이천시,1019800
56,F,건강식품,파주시,1728000
57,F,건강식품,포천시,38000
58,F,건강식품,하남시,4821330
59,F,건강식품,화성시,11056300
60,F,건축자재,가평군,756750
61,F,건축자재,고양시 덕양구,415500
62,F,건축자재,고양시 일산동구,397750
63,F,건축자재,고양시 일산서구,1186100
64,F,건축자재,과천시,300000
65,F,건축자재,광명시,505951
66,F,건축자재,광주시,198750
67,F,건축자재,구리시,154200
68,F,건축자재,군포시,7472750
69,F,건축자재,남양주시,532770
70,F,건축자재,동두천시,10000
71,F,건축자재,부천시,4793770
72,F,건축자재,수원시 권선구,362200
73,F,건축자재,수원시 영통구,83000
74,F,건축자재,수원시 장안구,476250
75,F,건축자재,수원시 팔달구,19800
76,F,건축자재,안산시 단원구,277475
77,F,건축자재,안산시 상록구,2952300
78,F,건축자재,안성시,160750
79,F,건축자재,양주시,525150
80,F,건축자재,양평군,7473220
81,F,건축자재,여주시,79000
82,F,건축자재,연천군,239270
83,F,건축자재,오산시,50500
84,F,건축자재,용인시 기흥구,161500
85,F,건축자재,용인시 수지구,569300
86,F,건축자재,용인시 처인구,66400
87,F,건축자재,의정부시,1017700
88,F,건축자재,이천시,193000
89,F,건축자재,파주시,673000
90,F,건축자재,하남시,1797490
91,F,건축자재,화성시,2099260
92,F,광학제품,가평군,101000
93,F,광학제품,고양시 덕양구,1156500
94,F,광학제품,고양시 일산동구,7619800
95,F,광학제품,고양시 일산서구,1991600
96,F,광학제품,과천시,755000
97,F,광학제품,광명시,1514020
98,F,광학제품,광주시,229800
99,F,광학제품,구리시,213800
100,F,광학제품,군포시,2768000
101,F,광학제품,남양주시,497500
102,F,광학제품,동두천시,289000
103,F,광학제품,부천시,7347350
104,F,광학제품,수원시 권선구,830000
105,F,광학제품,수원시 영통구,1093000
106,F,광학제품,수원시 장안구,146000
107,F,광학제품,수원시 팔달구,284000
108,F,광학제품,안산시 단원구,2663000
109,F,광학제품,안산시 상록구,811300
110,F,광학제품,안성시,100000
111,F,광학제품,양주시,1177000
112,F,광학제품,양평군,1730700
113,F,광학제품,연천군,365000
114,F,광학제품,오산시,215000
115,F,광학제품,용인시 기흥구,699000
116,F,광학제품,용인시 수지구,155000
117,F,광학제품,용인시 처인구,400600
118,F,광학제품,의정부시,2232500
119,F,광학제품,이천시,194600
120,F,광학제품,파주시,477100
121,F,광학제품,하남시,2840500
122,F,광학제품,화성시,6445578
123,F,기타,가평군,438150
124,F,기타,고양시 덕양구,2565900
125,F,기타,고양시 일산동구,2422000
126,F,기타,고양시 일산서구,1707000
127,F,기타,과천시,4200
128,F,기타,광명시,513130
129,F,기타,광주시,325000
130,F,기타,구리시,123000
131,F,기타,군포시,4518500
132,F,기타,남양주시,260350
133,F,기타,부천시,9062850
134,F,기타,수원시 권선구,1040200
135,F,기타,수원시 영통구,372800
136,F,기타,수원시 장안구,499850
137,F,기타,수원시 팔달구,109500
138,F,기타,안산시 단원구,2174820
139,F,기타,안산시 상록구,521960
140,F,기타,안성시,88650
141,F,기타,양주시,387000
142,F,기타,양평군,2137000
143,F,기타,여주시,2082020
144,F,기타,연천군,937140
145,F,기타,오산시,168630
146,F,기타,용인시 기흥구,2212740
147,F,기타,용인시 수지구,57500
148,F,기타,용인시 처인구,596050
149,F,기타,의정부시,753810
150,F,기타,이천시,410500
151,F,기타,파주시,101300
152,F,기타,하남시,6049600
153,F,기타,화성시,751400
154,F,기타의료기관,가평군,195000
155,F,기타의료기관,고양시 덕양구,39594474
156,F,기타의료기관,고양시 일산동구,89936120
157,F,기타의료기관,고양시 일산서구,25024550
158,F,기타의료기관,과천시,1952900
159,F,기타의료기관,광명시,13976090
160,F,기타의료기관,광주시,944700
161,F,기타의료기관,구리시,6438690
162,F,기타의료기관,군포시,30157511
163,F,기타의료기관,남양주시,12927640
164,F,기타의료기관,동두천시,2183770
165,F,기타의료기관,부천시,100430102
166,F,기타의료기관,수원시 권선구,30598680
167,F,기타의료기관,수원시 영통구,28562150
168,F,기타의료기관,수원시 장안구,8289810
169,F,기타의료기관,수원시 팔달구,8473950
170,F,기타의료기관,안산시 단원구,26145570
171,F,기타의료기관,안산시 상록구,5383950
172,F,기타의료기관,안성시,244900
173,F,기타의료기관,양주시,15415510
174,F,기타의료기관,양평군,7970710
175,F,기타의료기관,여주시,452450
176,F,기타의료기관,연천군,356400
177,F,기타의료기관,오산시,1176700
178,F,기타의료기관,용인시 기흥구,26450190
179,F,기타의료기관,용인시 수지구,24350980
180,F,기타의료기관,용인시 처인구,5076820
181,F,기타의료기관,의정부시,19842390
182,F,기타의료기관,이천시,3438000
183,F,기타의료기관,파주시,14683180
184,F,기타의료기관,하남시,49204414
185,F,기타의료기관,화성시,113696445
186,F,농업,가평군,110000
187,F,농업,고양시 덕양구,80500
188,F,농업,고양시 일산서구,54000
189,F,농업,광주시,158000
190,F,농업,구리시,36000
191,F,농업,남양주시,194500
192,F,농업,동두천시,391900
193,F,농업,부천시,43000
194,F,농업,수원시 권선구,323259
195,F,농업,수원시 팔달구,212800
196,F,농업,안산시 단원구,5000
197,F,농업,안성시,30300
198,F,농업,양주시,176900
199,F,농업,양평군,5510320
200,F,농업,여주시,173500
201,F,농업,연천군,442900
202,F,농업,오산시,23000
203,F,농업,용인시 기흥구,112000
204,F,농업,용인시 처인구,82000
205,F,농업,의정부시,23000
206,F,농업,이천시,47000
207,F,농업,파주시,133000
208,F,농업,평택시,10000
209,F,농업,하남시,75000
210,F,농업,화성시,535300
211,F,레저업소,가평군,1378300
212,F,레저업소,고양시 덕양구,53379730
213,F,레저업소,고양시 일산동구,26422200
214,F,레저업소,고양시 일산서구,32275900
215,F,레저업소,과천시,24540200
216,F,레저업소,광명시,16563970
217,F,레저업소,광주시,5142750
218,F,레저업소,구리시,6185880
219,F,레저업소,군포시,69165751
220,F,레저업소,남양주시,27143317
221,F,레저업소,동두천시,1430800
222,F,레저업소,부천시,104633690
223,F,레저업소,수원시 권선구,15922300
224,F,레저업소,수원시 영통구,32737917
225,F,레저업소,수원시 장안구,13385550
226,F,레저업소,수원시 팔달구,6815500
227,F,레저업소,안산시 단원구,30193838
228,F,레저업소,안산시 상록구,12268010
229,F,레저업소,안성시,6264600
230,F,레저업소,양주시,27665700
231,F,레저업소,양평군,15645200
232,F,레저업소,여주시,1355300
233,F,레저업소,연천군,3758500
234,F,레저업소,오산시,3328000
235,F,레저업소,용인시 기흥구,17398300
236,F,레저업소,용인시 수지구,11380000
237,F,레저업소,용인시 처인구,3228300
238,F,레저업소,의정부시,30168304
239,F,레저업소,이천시,6534500
240,F,레저업소,파주시,24624010
241,F,레저업소,하남시,86179407
242,F,레저업소,화성시,102806392
243,F,레져용품,가평군,306800
244,F,레져용품,고양시 덕양구,6410700
245,F,레져용품,고양시 일산동구,7193800
246,F,레져용품,고양시 일산서구,11278810
247,F,레져용품,과천시,2185000
248,F,레져용품,광명시,3650020
249,F,레져용품,광주시,465800
250,F,레져용품,구리시,1370100
251,F,레져용품,군포시,15740600
252,F,레져용품,남양주시,11083500
253,F,레져용품,동두천시,1380400
254,F,레져용품,부천시,38373100
255,F,레져용품,수원시 권선구,4741400
256,F,레져용품,수원시 영통구,1171800
257,F,레져용품,수원시 장안구,2119400
