년월,시도명,시군구명,성별코드,가맹점업종명,총결제금액
2019-03,경기도,양주시,F,유통업 영리,7600
2019-03,경기도,양주시,F,일반휴게음식,26200
2019-04,경기도,가평군,F,회원제형태,10000
2019-04,경기도,가평군,F,기타,10450
2019-04,경기도,가평군,F,신변잡화,45500
2019-04,경기도,가평군,F,음료식품,49100
2019-04,경기도,가평군,F,의원,50000
2019-04,경기도,가평군,F,레저업소,66000
2019-04,경기도,가평군,F,문화.취미,79000
2019-04,경기도,가평군,F,보건위생,141600
2019-04,경기도,가평군,F,유통업 영리,167540
2019-04,경기도,가평군,F,연료판매점,174600
2019-04,경기도,가평군,F,유통업 비영리,303530
2019-04,경기도,가평군,F,일반휴게음식,924000
2019-04,경기도,가평군,M,회원제형태,1004
2019-04,경기도,가평군,M,신변잡화,3500
2019-04,경기도,가평군,M,서적문구,8300
2019-04,경기도,가평군,M,문화.취미,10000
2019-04,경기도,가평군,M,의원,12200
2019-04,경기도,가평군,M,약국,18600
2019-04,경기도,가평군,M,레저업소,23700
2019-04,경기도,가평군,M,보건위생,70000
2019-04,경기도,가평군,M,유통업 비영리,83390
2019-04,경기도,가평군,M,자동차정비 유지,100000
2019-04,경기도,가평군,M,음료식품,111100
2019-04,경기도,가평군,M,유통업 영리,292590
2019-04,경기도,가평군,M,연료판매점,359514
2019-04,경기도,가평군,M,일반휴게음식,1365900
2019-04,경기도,고양시 덕양구,F,신변잡화,1450
2019-04,경기도,고양시 덕양구,F,문화.취미,15000
2019-04,경기도,고양시 덕양구,F,약국,22700
2019-04,경기도,고양시 덕양구,F,보건위생,27000
2019-04,경기도,고양시 덕양구,F,유통업 영리,50890
2019-04,경기도,고양시 덕양구,F,의원,73300
2019-04,경기도,고양시 덕양구,F,서적문구,197200
2019-04,경기도,고양시 덕양구,F,음료식품,239280
2019-04,경기도,고양시 덕양구,F,일반휴게음식,565800
2019-04,경기도,고양시 덕양구,M,수리서비스,5000
2019-04,경기도,고양시 덕양구,M,의원,32500
2019-04,경기도,고양시 덕양구,M,신변잡화,35000
2019-04,경기도,고양시 덕양구,M,약국,37800
2019-04,경기도,고양시 덕양구,M,문화.취미,42500
2019-04,경기도,고양시 덕양구,M,기타,49000
2019-04,경기도,고양시 덕양구,M,보건위생,67000
2019-04,경기도,고양시 덕양구,M,음료식품,105420
2019-04,경기도,고양시 덕양구,M,유통업 영리,184010
2019-04,경기도,고양시 덕양구,M,일반휴게음식,1678700
2019-04,경기도,고양시 일산동구,F,보건위생,6000
2019-04,경기도,고양시 일산동구,F,서적문구,10400
2019-04,경기도,고양시 일산동구,F,약국,13000
2019-04,경기도,고양시 일산동구,F,의류,17900
2019-04,경기도,고양시 일산동구,F,유통업 영리,38400
2019-04,경기도,고양시 일산동구,F,신변잡화,49400
2019-04,경기도,고양시 일산동구,F,문화.취미,90000
2019-04,경기도,고양시 일산동구,F,음료식품,92680
2019-04,경기도,고양시 일산동구,F,자동차정비 유지,424000
2019-04,경기도,고양시 일산동구,F,일반휴게음식,655700
2019-04,경기도,고양시 일산동구,M,서적문구,7800
2019-04,경기도,고양시 일산동구,M,신변잡화,10000
2019-04,경기도,고양시 일산동구,M,수리서비스,20200
2019-04,경기도,고양시 일산동구,M,약국,53000
2019-04,경기도,고양시 일산동구,M,유통업 영리,90800
2019-04,경기도,고양시 일산동구,M,학원,120000
2019-04,경기도,고양시 일산동구,M,음료식품,162000
2019-04,경기도,고양시 일산동구,M,일반휴게음식,1226200
2019-04,경기도,고양시 일산서구,F,용역 서비스,9500
2019-04,경기도,고양시 일산서구,F,약국,11700
2019-04,경기도,고양시 일산서구,F,회원제형태,14800
2019-04,경기도,고양시 일산서구,F,레저업소,23900
2019-04,경기도,고양시 일산서구,F,유통업 영리,31600
2019-04,경기도,고양시 일산서구,F,음료식품,82150
2019-04,경기도,고양시 일산서구,F,의류,142000
2019-04,경기도,고양시 일산서구,F,일반휴게음식,442100
2019-04,경기도,고양시 일산서구,M,약국,2200
2019-04,경기도,고양시 일산서구,M,서적문구,6700
2019-04,경기도,고양시 일산서구,M,수리서비스,7000
2019-04,경기도,고양시 일산서구,M,보건위생,10000
2019-04,경기도,고양시 일산서구,M,의원,13300
2019-04,경기도,고양시 일산서구,M,레져용품,17100
2019-04,경기도,고양시 일산서구,M,의류,30000
2019-04,경기도,고양시 일산서구,M,음료식품,45690
2019-04,경기도,고양시 일산서구,M,레저업소,62000
2019-04,경기도,고양시 일산서구,M,기타의료기관,65000
2019-04,경기도,고양시 일산서구,M,유통업 영리,73150
2019-04,경기도,고양시 일산서구,M,일반휴게음식,1544600
2019-04,경기도,과천시,F,레져용품,2000
2019-04,경기도,과천시,F,주방용구,5000
2019-04,경기도,과천시,F,서적문구,9000
2019-04,경기도,과천시,F,사무통신,10000
2019-04,경기도,과천시,F,의원,16100
2019-04,경기도,과천시,F,유통업 영리,49310
2019-04,경기도,과천시,F,보건위생,63000
2019-04,경기도,과천시,F,수리서비스,107010
2019-04,경기도,과천시,F,음료식품,210900
2019-04,경기도,과천시,F,신변잡화,270000
2019-04,경기도,과천시,F,학원,300000
2019-04,경기도,과천시,F,건강식품,370000
2019-04,경기도,과천시,F,의류,477000
2019-04,경기도,과천시,F,일반휴게음식,1014230
2019-04,경기도,과천시,F,레저업소,1040500
2019-04,경기도,과천시,M,문화.취미,15000
2019-04,경기도,과천시,M,신변잡화,15000
2019-04,경기도,과천시,M,약국,17600
2019-04,경기도,과천시,M,유통업 영리,19500
2019-04,경기도,과천시,M,레저업소,21000
2019-04,경기도,과천시,M,의류,30000
2019-04,경기도,과천시,M,음료식품,75000
2019-04,경기도,과천시,M,의원,75300
2019-04,경기도,과천시,M,보건위생,108000
2019-04,경기도,과천시,M,일반휴게음식,996000
2019-04,경기도,광명시,F,주방용구,5000
2019-04,경기도,광명시,F,건축자재,11000
2019-04,경기도,광명시,F,자동차정비 유지,11500
2019-04,경기도,광명시,F,건강식품,13000
2019-04,경기도,광명시,F,가구,13000
2019-04,경기도,광명시,F,광학제품,33000
2019-04,경기도,광명시,F,기타의료기관,138200
2019-04,경기도,광명시,F,용역 서비스,156000
2019-04,경기도,광명시,F,문화.취미,294000
2019-04,경기도,광명시,F,서적문구,298450
2019-04,경기도,광명시,F,신변잡화,311300
2019-04,경기도,광명시,F,레저업소,324000
2019-04,경기도,광명시,F,회원제형태,478700
2019-04,경기도,광명시,F,약국,530990
2019-04,경기도,광명시,F,레져용품,642000
2019-04,경기도,광명시,F,수리서비스,655490
2019-04,경기도,광명시,F,의류,957800
2019-04,경기도,광명시,F,의원,2177800
2019-04,경기도,광명시,F,보건위생,4280640
2019-04,경기도,광명시,F,학원,4932000
2019-04,경기도,광명시,F,유통업 영리,5347594
2019-04,경기도,광명시,F,음료식품,6718360
2019-04,경기도,광명시,F,일반휴게음식,20361100
2019-04,경기도,광명시,M,건축자재,7700
2019-04,경기도,광명시,M,기타의료기관,8570
2019-04,경기도,광명시,M,가구,15500
2019-04,경기도,광명시,M,건강식품,18000
2019-04,경기도,광명시,M,주방용구,111800
2019-04,경기도,광명시,M,서적문구,113800
2019-04,경기도,광명시,M,레져용품,128000
2019-04,경기도,광명시,M,의류,159000
2019-04,경기도,광명시,M,기타,165000
2019-04,경기도,광명시,M,신변잡화,235700
