store_name,store_type_code,main_code,store_type,local_name,address,phone_number,long,lati,searchcount
7th street(세븐스트리트),1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-26 (의정부동),031-871-7077,37.73633262,127.0447991,59385
HotelMGM,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로258번길 35 (의정부동),031-837-7260,37.73936249,127.0451006,119587
I모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로108번길 29 (의정부동),031-844-5671,37.74224919,127.0533578,75740
K-레브호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1332번길 67 (의정부동),0,37.74096186,127.0523757,106456
MUL모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로132번길 27 (의정부동),031-875-6060,37.73676167,127.0499558,126974
M호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로122번길 59-10 (의정부동),031-862-6045,37.73561974,127.0491308,93349
The 호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 범골로145번길 24 (의정부동),0,37.73703644,127.0415906,140585
VIP모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 18 (의정부동),031-826-9519,37.74351295,127.0525247,103125
가을동화,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 범골로157번길 25-6 (의정부동),031-875-9086,37.73733182,127.0424604,104176
강변장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로90번길,031-846-2072,37.73936016,127.0730684,85978
관동여인숙,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1298번길,031-846-4240,37.73936016,127.0730684,108754
궁,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 19 (의정부동),031-836-4141,37.7316219,127.0472306,111483
궁전장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1332번길 68 (의정부동),031-845-3258,37.74096877,127.0521146,77695
궁전파크여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 37 (의정부동),031-877-7139,37.73244874,127.0469704,110237
그랜드파크,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 39-6 (의정부동),0,37.74248061,127.0530031,93727
그루모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 흥선로177번길 20 (의정부동),031-841-7795,37.74155474,127.0465588,114539
그린파크여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로63번길 18 (의정부동),031-846-2827,37.73842595,127.0507515,85828
금강장,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로568번길,031-846-8016,37.73936016,127.0730684,77444
금강장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로118번길 14 (의정부동),0,37.74285408,127.0523856,100980
길손파크,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로63번길 16 (의정부동),031-821-5409,37.73835479,127.0508658,101692
까웅모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 흥선로177번길 13-4 (의정부동),031-842-2784,37.74135333,127.0461643,79839
나나여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 흥선로177번길 8 (의정부동),0,37.7410152,127.0466906,101374
나이스호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로240번길 48 (의정부동),031-874-3868,37.73700215,127.0451422,111059
낙원장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로143번길 101 (의정부동),031-848-4240,37.74229221,127.050861,93444
다오호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로232번길 28 (의정부동),031-874-3372,37.73674888,127.0450207,114803
단비원룸텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로 19 (의정부동),031-871-9337,37.73484558,127.0492201,75688
달라스모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로,031-871-5276,37.73936016,127.0730684,97918
대구장여인숙,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로63번길 11 (의정부동),0,37.73815704,127.0509251,100013
대성장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로,031-848-7566,37.73936016,127.0730684,86699
대신장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 40 (의정부동),031-874-3661,37.73251483,127.047344,113243
대원장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 가금로 71-9 (가능동),031-856-1405,37.75466408,127.0442688,109549
대호장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로504번길,031-826-6339,37.73936016,127.0730684,103697
더블유(W),1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로122번길 21 (의정부동),031-826-2122,37.73741803,127.0486654,120826
더블유(W),1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 15 (의정부동),031-836-5355,37.73138766,127.0472336,104300
더클라우드호텔(THE CLOUD HOTEL),1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로232번길,0,37.73936016,127.0730684,87357
